,G3,study_time,location,internet,famrel,absences,romantic,school
0,6,2 to 5 hours,Urban,no,4,6,no,GP
1,6,2 to 5 hours,Urban,yes,5,4,no,GP
2,10,2 to 5 hours,Urban,yes,4,10,no,GP
3,15,5 to 10 hours,Urban,yes,3,2,yes,GP
4,10,2 to 5 hours,Urban,no,4,4,no,GP
5,15,2 to 5 hours,Urban,yes,5,10,no,GP
6,11,2 to 5 hours,Urban,yes,4,0,no,GP
7,6,2 to 5 hours,Urban,no,4,6,no,GP
8,19,2 to 5 hours,Urban,yes,4,0,no,GP
9,15,2 to 5 hours,Urban,yes,5,0,no,GP
10,9,2 to 5 hours,Urban,yes,3,0,no,GP
11,12,5 to 10 hours,Urban,yes,5,4,no,GP
12,14,<2 hours,Urban,yes,4,2,no,GP
13,11,2 to 5 hours,Urban,yes,5,2,no,GP
14,16,5 to 10 hours,Urban,yes,4,0,yes,GP
15,14,<2 hours,Urban,yes,4,4,no,GP
16,14,5 to 10 hours,Urban,yes,3,6,no,GP
17,10,2 to 5 hours,Urban,no,5,4,no,GP
18,5,<2 hours,Urban,yes,5,16,no,GP
19,10,<2 hours,Urban,yes,3,4,no,GP
20,15,2 to 5 hours,Urban,yes,4,0,no,GP
21,15,<2 hours,Urban,yes,5,0,no,GP
22,16,2 to 5 hours,Urban,yes,4,2,no,GP
23,12,2 to 5 hours,Urban,yes,5,0,no,GP
24,8,5 to 10 hours,Rural,yes,4,2,no,GP
25,8,<2 hours,Urban,yes,1,14,no,GP
26,11,<2 hours,Urban,yes,4,2,no,GP
27,15,<2 hours,Urban,yes,2,4,no,GP
28,11,2 to 5 hours,Urban,yes,5,4,no,GP
29,11,2 to 5 hours,Urban,yes,4,16,yes,GP
30,12,2 to 5 hours,Urban,yes,5,0,no,GP
31,17,2 to 5 hours,Urban,yes,4,0,no,GP
32,16,2 to 5 hours,Rural,yes,4,0,yes,GP
33,12,2 to 5 hours,Urban,yes,5,0,no,GP
34,15,<2 hours,Urban,yes,5,0,no,GP
35,6,<2 hours,Urban,no,3,0,no,GP
36,18,5 to 10 hours,Urban,yes,5,2,no,GP
37,15,5 to 10 hours,Rural,yes,2,7,yes,GP
38,11,5 to 10 hours,Rural,yes,4,2,no,GP
39,13,<2 hours,Rural,no,4,8,no,GP
40,11,2 to 5 hours,Urban,yes,3,25,yes,GP
41,12,<2 hours,Urban,yes,5,8,yes,GP
42,18,2 to 5 hours,Urban,yes,4,2,no,GP
43,11,<2 hours,Urban,yes,5,0,no,GP
44,9,2 to 5 hours,Urban,yes,4,14,no,GP
45,6,2 to 5 hours,Urban,yes,5,8,yes,GP
46,11,2 to 5 hours,Urban,yes,2,12,no,GP
47,20,>10 hours,Urban,yes,4,4,no,GP
48,14,2 to 5 hours,Urban,no,4,2,no,GP
49,7,2 to 5 hours,Urban,yes,4,2,no,GP
50,13,2 to 5 hours,Urban,yes,4,2,no,GP
51,13,2 to 5 hours,Urban,yes,4,2,no,GP
52,10,<2 hours,Urban,no,5,6,no,GP
53,11,<2 hours,Urban,yes,3,0,no,GP
54,13,<2 hours,Urban,yes,5,6,no,GP
55,10,2 to 5 hours,Urban,yes,5,8,yes,GP
56,15,2 to 5 hours,Urban,yes,4,0,no,GP
57,15,2 to 5 hours,Urban,no,3,4,no,GP
58,9,2 to 5 hours,Urban,yes,4,2,no,GP
59,16,2 to 5 hours,Urban,yes,4,2,no,GP
60,11,2 to 5 hours,Rural,no,2,6,no,GP
61,11,<2 hours,Urban,yes,5,6,yes,GP
62,9,2 to 5 hours,Urban,yes,4,4,no,GP
63,9,5 to 10 hours,Urban,yes,3,2,no,GP
64,10,2 to 5 hours,Urban,yes,4,0,yes,GP
65,15,2 to 5 hours,Urban,yes,5,2,no,GP
66,12,>10 hours,Urban,yes,1,4,yes,GP
67,6,>10 hours,Urban,yes,4,4,no,GP
68,8,2 to 5 hours,Rural,yes,4,2,no,GP
69,16,>10 hours,Rural,yes,4,12,no,GP
70,15,>10 hours,Urban,yes,4,0,no,GP
71,10,>10 hours,Urban,yes,3,0,no,GP
72,5,2 to 5 hours,Rural,yes,3,2,yes,GP
73,14,<2 hours,Urban,no,5,2,no,GP
74,11,2 to 5 hours,Urban,yes,4,54,no,GP
75,10,2 to 5 hours,Urban,yes,4,6,no,GP
76,10,>10 hours,Urban,yes,3,8,no,GP
77,11,>10 hours,Urban,yes,5,0,yes,GP
78,10,<2 hours,Urban,yes,4,2,no,GP
