te work giveme chests,Positive,0.5,0.6
Bowmasters,"Game decent, making write review early rewards, perhaps I'll update I give true opinion. Update: The amount IAPs games astounding. Would much preffered time purchase, ads anything.",Positive,0.16944444444444443,0.5361111111111111
Bowmasters,I hate game watched video tournament get second chance never give second chance,Negative,-0.30000000000000004,0.325
Bowmasters,It's boring g lol would u make diamond member ship stupid,Negative,-0.3333333333333333,0.9
Bowmasters,Offers chests watch ads. You watch game crashes chest.,Negative,-0.15000000000000002,0.2
Bowmasters,"Thanks I messages end week I help way help Kdosid$8(37_ud83(_8""838_8""iziwixiiaiiwisosidixkskd I go store get rest feel better soon",Positive,0.35,0.35
Bowmasters,Fun time consumer... Gets old little quick always good entertainment u need quick time filler,Positive,0.26319444444444445,0.4166666666666667
Bowmasters,"Good characters, modes, variety. Worth bucks get ads away. I wish I could bought full version though",Positive,0.45,0.4166666666666667
Bowmasters,"Good game. I galaxy note 3 everytime I finish game leaves it, saying game stopped",Negative,-0.12500000000000003,0.44999999999999996
Bowmasters,nan,nan,nan,nan
Bowmasters,"It's annoying every time win game, watch game win chest.",Neutral,0.0,0.5
Bowmasters,"I really enjoy game! I used play time back first came out, sucks lot stuff behind pay wall I still think game fun hell!",Negative,-0.07187500000000001,0.3541666666666667
Bowmasters,To many videos pop match. But bad game passing time..,Negative,-0.19999999999999996,0.5222222222222221
Bowmasters,"Really like game far. Great gameplay lots fun. Edit: I took away star constant asking rate even I've already rated taking away chances chests. Just seems excessive. It's good game, people need badgered rating.",Positive,0.11666666666666664,0.5425925925925927
Bowmasters,"Easy play round two minutes. Characters hilarious many choose from. I find lot rounds I'm using similar power angle much variation. Still fun. As far longevity, I playing long term I lose interest fairly easily there's point continue playing game play over.",Positive,0.16515151515151516,0.5606060606060607
Bowmasters,"I would give game stars many problems. Lag everywhere game ads make worse. I mind watching game, awful. It makes gameplay unplayable unenjoyable. Please fix problems.",Negative,-0.35714285714285715,0.5714285714285714
Bowmasters,"It's ok, making us pay per week ads absurd edit: Game freezing messing up, can't find get back daily claim watch ads get chest even winning fight. I took 1 start away issues.",Positive,0.016666666666666663,0.44166666666666665
Bowmasters,"Should vary videos required watch, least give option never seeing certain videos again. Not gonna buy makeup, I keep watching Maybelline commercials? Overall, good game",Positive,0.04285714285714284,0.3942857142857143
Bowmasters,The main problem ads. Their many ads I like niether care about. And I going pay ad removal cuz work. Get rid ads greedy devs,Positive,0.3333333333333333,0.41666666666666663
Bowmasters,Its pretty ok. The thing pisses characters need win chest roulette,Positive,0.5166666666666667,0.6333333333333333
Bowmasters,I think game awesome! You get characters coins. And also go computer. The downside sometimes freezes close app. But IT IS AWESOME!!!,Positive,0.5333333333333333,0.7999999999999999
Bowmasters,The game entertaining game randomly send ad page virus. I'd appreciate maybe used ads viruses. Also randomly stops working,Negative,-0.26,0.5
Bowmasters,"Cool game! And really fun play. Edit: hey Miniclip, game fun But problem. The game lagging On device. And hard win Characters. I need easyer way get them. Plus Can u fix lagging? Thank you!",Positive,0.044791666666666646,0.3989583333333333
Bowmasters,"Gameplay graphics entertaining, game loaded video ads. The ""no ads"" purchase affect video ads, misleading. Has potential ruined scumbag business practices.",Positive,0.033333333333333326,0.7000000000000001
Bowmasters,So many adds screen watch chest x2 second chance. Way much face 7.99 week membership really. P.s I stupid paid google reviewer,Positive,0.019999999999999997,0.38
Bowmasters,I hit opposing player way headshots yet AI player wins two headshots?! Can say rip off. Smh,Positive,0.375,0.2
Bowmasters,This game great even 5 year old brother plays game. What I like game sometimes freezes reason also freezes let shoot people. You also get mostly everything cheat roulette I like hard get chest roulette I always get coins. I like coins I get characters!!,Negative,-0.03653273809523811,0.45595238095238094
Bowmasters,"I rate 4 stars ads chests really annoying I'm playing in-game, ad pops every 10 seconds It always 35 seconds long always something useless like asking I need new phone house. I can't skip ads either skip button. Moving chests, always give 500 coins rarely characters. Please fix please.",Negative,-0.18272727272727277,0.5709090909090909
Bowmasters,"It uses Target advertising let hit "" thank you"" trying force agree sharing information. SCAM FOR YOUR INFO.",Neutral,0.0,0.0
Bowmasters,"Ui needs work. Hero select frustrating. Too many things happen way player wouldnt expect, I want deal",Positive,0.04999999999999999,0.7
Bowmasters,"The game nice, good gameplay, easy learn fun. But many ads pop ups make annoying. Too much freemium content ruin experience.",Positive,0.19166666666666665,0.5791666666666667
Bowmasters,I got I really like it! Too much blood too! And ridicules! Sorry I prefer roblox!,Negative,-0.020833333333333332,0.4666666666666666
Bowmasters,"I legit watched ad revive tournament, still lost? What ad then? Oh I online multiplayer, whenever someone dead, turn still happens I hit nothing happens, never die I never win. It's happened 3 times now.",Negative,-0.30000000000000004,0.4
Bowmasters,"I like game alot. It's fun competitive. I local online multiplayer different game modes. Huge selection characters choose well. The downside order work really well put phone device airplane mode shuts WiFi data. The game seem operate well internet access. I can't tell device actual game I found method make game run smoothly. The bug game seems massive amounts lag. It slows response time max annoying. I can't tell I keep delete it, that's makes interesting game.",Negative,-0.10588235294117648,0.4529411764705883
Bowmasters,"This game funny entertaining. Good game play easy figure out. Not overly difficult, challenges. Lots ads. Has crashing frequently today.",Positive,0.08541666666666663,0.6541666666666667
Bowmasters,"Its nice! But theres problem, wont open second time opened it.",Positive,0.25,0.5
Bowmasters,"Great time killer, alot characters choose several game modes keep busy. Overall fun Abit tedious. If I mention negative would sometimes health bar would show empty character still extra turn.",Negative,-0.009999999999999995,0.365
Bowmasters,"Well game fun dumn fricken ads pop every minute. Its annoying, fix please",Negative,-0.30000000000000004,0.5
Bowmasters,I love bowmasters new upgrades charters like neko mike Terrance Ice Lord Samsung phones iPhones I iPhone Samsung galaxy please Samsung galaxy I lot gems thankyou please new upgrades Samsung bye,Positive,0.25757575757575757,0.503030303030303
Bowmasters,Great game. Can't always connect server adverts play get rewards works every bad!,Negative,-0.15833333333333324,0.6055555555555555
Bowmasters,IF U LIKE WATCHING ADS THIS IS AD HEAVEN. IF UT A GAMER WHO DOESN'T PURCHASE BE PREPARED TO WATCH HUNDREDS OF ADS,Neutral,0.0,0.0
Bowmasters,Its great but.... Can u change person hit doesnt bleed... Or else... Cuz it. A bit inappropriate... Tq.. ☺,Positive,0.8,0.75
Bowmasters,Loved game. Hated would freeze everytime I refused targeted ads. Disappointed. Was really enjoying much,Negative,-0.10833333333333335,0.5750000000000001
Bowmasters,Super fun GREAT time waster. Somehow actually educational u figure right degrees angles reach person across you.,Positive,0.39380952380952383,0.48047619047619045
Bowmasters,Ad based chest drops horrendous game whole member ship scheme y'all adopted pitiful happened buying 2 bucks,Negative,-0.1,0.4
Bowmasters,I really like game fun play crashes often. Also I get passed second opponent tournament mode screen goes black I can't continue.,Negative,-0.013333333333333336,0.24666666666666667
Bowmasters,"Just Awesome bloody fun! Think Mortal Kombat bright, cheery vivid background. It's mask endless blood, gore violence displayed delightful, much comical way.",Positive,0.38611111111111107,0.8222222222222223
Bowmasters,Great game pass time with. Almost reminds angry birds,Negative,-0.033333333333333326,0.7166666666666667
Bowmasters,It really good lots fun addictive I would say way earn chests battles watching videos bit annoying. Overall good game though.,Positive,0.07142857142857141,0.5142857142857143
Bowmasters,Its pretty addicting please fix guy CD broken. He deals much damage,Positive,0.016666666666666663,0.5333333333333333
Bowmasters,This magical game children play. If like wonderful game need grow,Positive,0.17500000000000002,0.7
Bowmasters,Little reason keep playing. Only way earn coins playing AI? No reason play another human player. It makes sense. Could've good game.,Positive,0.022499999999999985,0.52
Bowmasters,Its fun short round pvp ridiculously gruesome kill scenes done cartoon fashion. Nothing negative say; I look forward unlocking characters.,Negative,-0.24,0.45999999999999996
Box,Please bring back properly labeled buttons music player. I box screen reader recent updates messed seekbar buttons.,Neutral,0.0,0.11666666666666665
Box,I absolutely love app! It provides fast access important documents wherever I go. It incredibly easy share collaborate still proving excellent access controls ensure data I want accessible I want I want. Fantastic!!!,Positive,0.5449404761904761,0.7583333333333334
Box,"Quite simply best does. It's bloat Ware, around longer ""the cloud "". Fast, great controls/intuitive, real ""learning curve"".",Positive,0.55,0.4875
Box,My organic chemistry course used class learn. I math physics courses collaborate students. It really helps research well.,Positive,0.2,0.2
Box,A impressive replacement Sharepoint useful people like every thing documented easily accessed edited anywhere organized fashion.,Positive,0.5777777777777778,0.6111111111111112
Box,I've using 5 years (I think) never let down!,Negative,-0.19444444444444448,0.2888888888888889
Box,"With Box, I access documents devices.",Neutral,0.0,0.0
Box,Very useful storage. Highly stable.,Positive,0.275,0.26999999999999996
Box,This incredibly helpful communicating tasks need done particular project.,Positive,0.5333333333333333,0.6166666666666667
Box,"Perfect cloud storage go, collaboration",Positive,1.0,1.0
