,rest_name,rest_addr,city,phone,cuisine_type
0,america, 435 s. la cienega blv . ,los angeles,3102461501,america
1,merican, 12224 ventura blvd. ,studio city,8187621221,merican
2,amurican, 624 s. la brea ave. ,los angeles,2139381447,amurican
3,americen, 8358 sunset blvd. west ,hollywood,2138486677,americen
4,americann, 9560 dayton way ,los angeles,3102760615,americann
5,asiane, 1972 n. hillhurst ave. ,los angeles,2136651891,asiane
6,itali, 3rd st. ,los angeles,3102741893,itali
7,asiann, 129 n. la cienega blvd. ,beverly hills,3106599639,asiann
8,americann, 9001 santa monica blvd. ,los angeles,3105508811,americann
9,murican, 1001 n. alameda st. ,los angeles,2136283781,murican
10,italien, 617 s. olive st. ,los angeles,2136272300,italien
11,italian, 3115 pico blvd. ,santa monica,3108294313,italian
12,asiat,67 n. raymond ave. ,los angeles,8185850855,asiat
13,american,21 w. 52nd st. ,new york,2125827200,american
14,americano,34 e. 61st st. ,new york,2123191660,americano
15,italiann, 2450 broadway between 90th and 91st sts . ,new york,2123622200,italiann
16,ameerican, 2 harrison st. near hudson st. ,new york,2129666960,ameerican
17,asianne, 210 e. 58th st. ,new york,2123557555,asianne
18,italiano, 243 e. 58th st. ,new york,2127581479,italiano
19,americin,99 e. 52nd st. ,new york,2127549494,americin
20,ammericann,12 e. 12th st. ,new york,2126204020,ammericann
21,americann,42 e. 20th st. between park ave. s and broadway ,new york,2124770777,americann
22,amerycan, 160 e. 64th st. ,new york,2122235656,amerycan
23,aamerican, 2 e. 55th st. ,new york,2123396719,aamerican
24,italian, 405 e. 58th st. ,new york,2127546272,italian
25,americann, 102 5th ave. between 15th and 16th sts . ,new york,2128077400,americann
26,ameerican, 100 e. 63rd st. ,new york,2126441900,ameerican
27,ameriican, 1 water st. at the east river ,brooklyn,7185225200,ameriican
28,italiaan, 240 central park s ,new york,2122655959,italiaan
29,asiian,11 e. 53rd st. ,new york,2129809393,asiian
30,asiaan,43 w. 65th st. ,new york,2123718844,asiaan
31,amerrican, 1110 3rd ave. at 65th st. ,new york,2128618080,amerrican
32,ameerrican, 201 e. 49th st. ,new york,2127531530,ameerrican
33,ammereican, in central park at 67th st. ,new york,2128733200,ammereican
34,american,21 e. 16th st. ,new york,2122434020,american
35,american, 152 w. 44th st. ,new york,2129219494,american
36,asian, 3200 las vegas blvd. s ,las vegas,7027338899,asian
37,italian, 2355 peachtree rd. . peachtree battle shopping center ,atlanta,4042618186,italian
38,american, 3130 piedmont road ,atlanta,4042372663,american
39,american, 3073 piedmont road ,atlanta,4042623336,american
40,american, 1 margaret mitchell sq. ,atlanta,4046812909,american
41,american, 2290 peachtree rd. . peachtree square shopping center ,atlanta,4043523517,american
42,asian, 595 piedmont ave. rio shopping mall ,atlanta,4048764408,asian
43,italian, 2637 peachtree rd. . peachtree house condominium ,atlanta,4042311368,italian
44,italian,41 14th st. ,atlanta,4048758424,italian
45,american, 1 mission st. ,san francisco,4155436084,american
46,american, 340 stockton st. ,san francisco,4159555555,american
47,american,22 hawthorne st. ,san francisco,4157779779,american
48,asian, 5937 geary blvd. ,san francisco,4156686654,asian
49,asian, 1737 post st. ,san francisco,4159220337,asian
50,american, 545 post st. ,san francisco,4157767825,american
51,american, 600 stockton st. ,san francisco,4152967465,american
52,italiaan, 532 columbus ave. ,san francisco,4153990499,italiaan
53,italian, 251 e. 53rd st. ,new york,2127538450,italian
54,italianne, 145 w. 53rd st. ,new york,2125814242,italianne
55,italiian, 2930 beverly glen circle ,los angeles,3104759807,italiian
56,american, 9570 wilshire blvd. ,beverly hills,3107775877,american
57,american, 3rd st. promenade ,santa monica,3104510616,american
58,italian, 346 s. la brea ave. ,los angeles,2139382863,italian
59,italian, 4100 cahuenga blvd. ,los angeles,8189854669,italian
60,american, 419 n. fairfax ave. ,los angeles,2136512030,american
61,asian, 310 n. larchmont blvd. ,los angeles,2134671052,asian
62,italiaan, 2628 wilshire blvd. ,santa monica,3108281585,italiaan
63,american, 134 n. la cienega ,los angeles,3106591952,american
64,american, 2424 main st. ,santa monica,3103923901,american
65,american, 4 fish 17300 pacific coast hwy . at sunset blvd. ,pacific palisades,3104543474,american
66,american, 8600 beverly blvd. ,los angeles,3102767605,american
67,italian, 2020 ave. of the stars ,los angeles,3102772333,italian
68,itallian, 301 n. beverly dr. ,los angeles,3105508330,itallian
69,asian, 9255 sunset blvd. ,los angeles,3102761886,asian
70,asian, 8783 beverly blvd. ,los angeles,3102890660,asian
71,italian, 4500 los feliz blvd. ,los angeles,2136670777,italian
72,asian, 679 n. spring st. ,los angeles,2136286717,asian
73,american, 8764 melrose ave. ,los angeles,3102765205,american
74,american, 414 n. beverly dr. ,los angeles,3102740101,american
75,american, 601 s. figueroa st. ,los angeles,2134850927,american
76,american, 1401 ocean ave. ,santa monica,3103945669,american
77,american, 6th st. ,los angeles,2134836000,american
78,american, 10001 riverside dr. ,toluca lake,8187619126,american
79,italian, 14928 ventura blvd. ,sherman oaks,8187844400,italian
80,italian, 362 n. camden dr. ,los angeles,3102777346,italian
81,american, 252 n. beverly dr. ,los angeles,3102747427,american
82,italian, 3rd st. promenade ,santa monica,3103936545,italian
83,asian, 111 s. san pedro st. ,los angeles,2136809355,asian
84,american, 1514 n. gower st. ,los angeles,2134669329,american
85,american, 8020 beverly blvd. ,los angeles,2136535858,american
86,italian, 7371 melrose ave. ,los angeles,2136586340,italian
87,asian, 430 n. camden dr. ,los angeles,3108590926,asian
88,asian, 7313 melrose ave. ,los angeles,2139375733,asian
89,italian, 3835 cross creek rd. ,los angeles,3104560169,italian
90,asian, 9876 wilshire blvd. ,los angeles,3102766345,asian
91,american, 1930 north hillhurst ave. ,los feliz,2136604446,american
92,american,60 n. venice blvd. ,los angeles,3108235396,american
93,asian,20 mott st. between bowery and pell st. ,new york,2129640380,asian
94,american, 9 jones st. ,new york,2129891220,american
95,american, 937 broadway at 22nd st. ,new york,2124738388,american
96,american, 311 w. 17th st. ,new york,2126278899,american
97,american, 1 united nations plaza at 44th st. ,new york,2127025014,american
98,american, 2 park ave. at 32nd st. ,new york,2126842122,american
99,italian, 222 e. 58th st. between 2nd and 3rd aves . ,new york,2123080112,italian
100,american, 206 206 e. 60th st. ,new york,2128380440,american
101,italian, 106 w. houston st. off thompson st. ,new york,2126773820,italian
102,asian, 200-250 vesey st. world financial center ,new york,2123850313,asian
103,italian, 321 w. 46th st. ,new york,2122469171,italian
104,american, 123 w. 52nd st. ,new york,2125818888,american
105,american, 948 1st ave. between 52nd and 53rd sts . ,new york,2127531870,american
106,asian, 1393a 2nd ave. between 72nd and 73rd sts . ,new york,2122498484,asian
107,american, 225 varick st. at clarkston st. ,new york,2127272775,american
108,italian, 240 e. 58th st. ,new york,2126884190,italian
109,american,25 w. 40th st. between 5th and 6th aves . ,new york,2128406500,american
110,american, 103 waverly pl . near washington sq. ,new york,2122541200,american
111,italian, 7 w. 20th st. ,new york,2126918136,italian
112,asian,45 mercer st. between broome and grand sts . ,new york,2123439012,asian
113,asian, 160 e. 48th st. ,new york,2123712323,asian
114,american,60 w. 53rd st. ,new york,2123337788,american
115,italian,23 e. 74th st. ,new york,2127940205,italian
116,italian, 164 mulberry st. between grand and broome sts . ,new york,2123431212,italian
117,italian, 341 w. broadway near grand st. ,new york,2129419024,italian
118,american, 157 duane st. between w. broadway and hudson st. ,new york,2127325555,american
119,american, 1325 5th ave. at 111th st. ,new york,2129961212,american
120,asian, 6 e. 32nd st. ,new york,2127251333,asian
121,american, 2150 broadway between 75th and 76th sts . ,new york,2124961588,american
122,asian, 1288 1st ave. at 69th st. ,new york,2127443266,asian
123,italian,39 desbrosses st. near west st. ,new york,2122264621,italian
124,american,57 e. 57th st. ,new york,2127585757,american
125,american, 635 9th ave. between 44th and 45th sts . ,new york,2122622525,american
126,italian, 1900 broadway between 63rd and 64th sts . ,new york,2125955330,italian
127,american, 522 columbus ave. between 85th and 86th sts . ,new york,2125953139,american
128,american,87 1st ave. between 5th and 6th sts . ,new york,2126743823,american
129,american,21 west 17th st. between 5th and 6th aves . ,new york,2126918888,american
130,italian, 6 w. 24th st. ,new york,2126916359,italian
131,american,54 pearl st. at broad st. ,new york,2122690144,american
132,italian, 402 w. 43rd st. off 9th ave. ,new york,2125647272,italian
133,asian, 467 columbus ave. between 82nd and 83rd sts . ,new york,2127691144,asian
134,american, 228 w. 52nd st. ,new york,2122455336,american
135,italian, 208 e. 58th st. between 2nd and 3rd aves . ,new york,2127523054,italian
136,american,33 93 2nd ave. between 5th and 6th sts . ,new york,2124778427,american
137,asian,18 e. broadway at catherine st. ,new york,2129410911,asian
138,italian, 228 thompson st. between w. 3rd and bleecker sts . ,new york,2127775922,italian
139,american, 151 w. 54th st. in the rihga royal hotel ,new york,2124688888,american
140,american, 221 w. 57th st. ,new york,2124896565,american
141,american, 1340 1st ave. at 72nd st. ,new york,2122493600,american
142,american,20 cornelia st. between bleecker and w. 4th st. ,new york,2122439579,american
143,american, 4 world financial center ,new york,2127861500,american
144,italian, 122 e. 27th st. between lexington and park aves . ,new york,2124817372,italian
145,italian, 125 mulberry st. between canal and hester sts . ,new york,2122266060,italian
146,asian, 430 lafayette st. between 4th st. and astor pl . ,new york,2125055111,asian
147,asian,15 w. 44th st. ,new york,2128695544,asian
148,asian, 219 e. 44th st. between 2nd and 3rd aves . ,new york,2126825678,asian
149,american, 326 w. 46th st. ,new york,2125816464,american
150,american, 152 w. 52nd st. ,new york,2125825252,american
151,italian, 168 1st ave. between 10th and 11th sts . ,new york,2126747014,italian
152,italian, 361 w. 46th st. ,new york,2123150980,italian
153,asian, 149 e. 57th st. ,new york,2127520808,asian
154,italian, 168 w. 18th st. ,new york,2127278022,italian
155,american, 150 w. 46th st. ,new york,2128690900,american
156,american, 507 columbus ave. between 84th and 85th sts . ,new york,2128751993,american
157,american,51 w. 64th st. ,new york,2127218271,american
158,american,30 west 22nd st. between 5th and 6th ave. ,new york,2126756700,american
159,american, 446 columbus ave. between 81st and 82nd sts . ,new york,2128735025,american
160,italian, 800 9th ave. at 53rd st. ,new york,2129563976,italian
161,american, 1161 1st ave. between 63rd and 64th sts . ,new york,2128886556,american
162,asian, 325 e. 14th st. between 1st and 2nd aves . ,new york,2127776314,asian
163,american, 160 mercer st. between houston and prince sts . ,new york,2129069173,american
164,american, 1030 3rd ave. at 61st st. ,new york,2128384343,american
165,asian,46 e. 29th st. ,new york,2126795535,asian
166,american,60 e. 54th st. ,new york,2128382600,american
167,asian, 1134 1st ave. between 62nd and 63rd sts . ,new york,2124214433,asian
168,american, 551 5th ave. at 45th st. ,new york,2129723315,american
169,american, 104 w. 57th st. near 6th ave. ,new york,2125818030,american
170,asian,32 w. 32nd st. ,new york,2129478482,asian
171,asian,28 1/2 bowery at bayard st. ,new york,2123490923,asian
172,american, 145 w. broadway at thomas st. ,new york,2122330507,american
173,italian, 322 w. 46th st. ,new york,2124897212,italian
174,italian, 142 w. 44th st. ,new york,2129443643,italian
175,asian,68 e. 56th st. ,new york,2122237575,asian
176,asian, 138 lafayette st. between canal and howard sts . ,new york,2129414168,asian
177,italian, 151 w. 51st . st. ,new york,2122454850,italian
178,italian,24 e. 81st st. ,new york,2122882391,italian
179,american, 205 e. 45th st. ,new york,2126828660,american
180,asian, 109 spring st. between greene and mercer sts . ,new york,2122748883,asian
181,american, 140 w. 57th st. ,new york,2123337827,american
182,american, 551 amsterdam ave. between 86th and 87th sts . ,new york,2125958555,american
183,american,28 e. 63rd st. ,new york,2129352888,american
184,asian, 100 w. 82nd st. ,new york,2125010776,asian
185,asian, 37a union sq. w between 16th and 17th sts . ,new york,2126277172,asian
186,american, 148 w. 51st st. ,new york,2122459600,american
187,italian, 133 mulberry st. between hester and grand sts . ,new york,2129253120,italian
188,italian,55 irving pl . ,new york,2129829030,italian
189,italian,18 e. 54th st. ,new york,2127539015,italian
190,american, 423 amsterdam ave. between 80th and 81st sts . ,new york,2124966280,american
191,american, 3 225 e. 60th st. ,new york,2128383531,american
192,american, 643 park ave. at 66th st. ,new york,2127444107,american
193,american,58 w. 65th st. ,new york,2128733700,american
194,asian,57 w. 48th st. ,new york,2129778400,asian
195,italian, 1022 madison ave. near 79th st. ,new york,2127342676,italian
196,american,62 spring st. at lafayette st. ,new york,2129660290,american
197,asian,76 mott st. at canal st. ,new york,2123348088,asian
198,asian,65 w. 55th st. ,new york,2129566888,asian
199,american, 950 8th ave. at 56th st. ,new york,2123973737,american
200,american, 2420 broadway at 89th st. ,new york,2124961066,american
201,italian, 900 7th ave. between 56th and 57th sts . ,new york,2122459800,italian
202,italian, 345 e. 83rd st. ,new york,2124724488,italian
203,american, 375 greenwich st. near franklin st. ,new york,2129413900,american
204,asian,34 e. 51st st. ,new york,2126885447,asian
205,american, 222 w. 79th st. ,new york,2127990400,american
206,american,54 irving pl . at 17th st. ,new york,2122605454,american
207,american,70 w. 68th st. ,new york,2127210068,american
208,american, 200 e. 54th st. ,new york,2124869592,american
209,american, 500 e. 30th st. ,new york,2126833333,american
210,american, 63rd street steakhouse 44 w. 63rd st. ,new york,2122466363,american
211,american,90 prince st. between broadway and mercer st. ,new york,2129666722,american
212,asian, 3195 roswell rd. ,atlanta,4042649546,asian
213,american, 3109 piedmont rd. . just south of peachtree rd. ,atlanta,4042627379,american
214,american, 265 pharr rd. ,atlanta,4042623165,american
215,italian, 3500 peachtree rd. . phipps plaza ,atlanta,4042332333,italian
216,american, 7050 jimmy carter blvd. . norcross ,atlanta,7704410291,american
217,italian, 1186 n. highland ave. ,atlanta,4048727203,italian
218,asian, 192 peachtree center ave. at international blvd. ,atlanta,4046592788,asian
219,asian, 3300 peachtree rd. . grand hyatt ,atlanta,4048410314,asian
220,italian, holiday inn/crowne plaza at ravinia dunwoody ,atlanta,7703959925,italian
221,asian, c buford hwy . northwoods plaza doraville ,atlanta,7704510192,asian
222,italian, park place across from perimeter mall dunwoody ,atlanta,7703931333,italian
223,american, 555 peachtree st. at linden ave. ,atlanta,4048743223,american
224,italian, 500 pharr rd. ,atlanta,4042372941,italian
225,american, 870 n. highland ave. ,atlanta,4048757775,american
226,asian, 3043 buford hwy . ,atlanta,4043255285,asian
227,asian, 6050 peachtree pkwy . norcross ,atlanta,7704490033,asian
228,american, 2165 cheshire bridge rd. ,atlanta,4043211118,american
229,italian, 3700 w. flamingo ,las vegas,7022527737,italian
230,asian, 4850 flamingo rd. ,las vegas,7028713262,asian
231,italian, 4041 audrie st. at flamingo rd. ,las vegas,7027321424,italian
232,italian, 3570 las vegas blvd. s ,las vegas,7027354663,italian
233,american, 4111 boulder hwy . ,las vegas,7024327777,american
234,american, 1350 e. flamingo rd. ,las vegas,7027358686,american
235,italian, 3333 s. maryland pkwy . ,las vegas,7027315311,italian
236,american, 1 main st. ,las vegas,7023862512,american
237,asian, 3570 las vegas blvd. s ,las vegas,7027317888,asian
238,asian, 129 e. fremont st. ,las vegas,7023857111,asian
239,asian, 1510 e. flamingo rd. ,las vegas,7027371234,asian
240,asian, 3400 las vegas blvd. s ,las vegas,7027917111,asian
241,italian, 3713 w. sahara ave. ,las vegas,7028764190,italian
242,american, 2223 market st. ,san francisco,4154310692,american
243,italian, 1722 sacramento st. ,san francisco,4155675432,italian
244,asian, 2030 union st. ,san francisco,4159298855,asian
245,american,56 gold st. ,san francisco,4154336300,american
246,italian, 800 greenwich st. ,san francisco,4157767766,italian
247,italian, 3347 fillmore st. ,san francisco,4154744180,italian
248,italian, 1600 powell st. ,san francisco,4159892589,italian
249,american, 1772 market st. ,san francisco,4158633516,american
250,american, 500 jackson st. ,san francisco,4152968555,american
251,american, 1300 battery st. ,san francisco,4159822000,american
252,asian, ghirardelli sq. ,san francisco,4157718822,asian
253,american, 501 geary st. ,san francisco,4152920101,american
254,asian, 4 embarcadero center ,san francisco,4157818833,asian
255,american, 161 steuart st. ,san francisco,4158821333,american
256,asian, 5322 geary blvd. ,san francisco,4156688998,asian
257,asian, 2332 clement st. ,san francisco,4157528833,asian
258,italian, 1521 hyde st. ,san francisco,4154417778,italian
259,italian, 1265 battery st. ,san francisco,4159860100,italian
260,asian, 5116 geary blvd. ,san francisco,4157525652,asian
261,italian, 221 powell st. ,san francisco,4153977720,italian
262,asian, 2 new montgomery st. at market st. ,san francisco,4155465000,asian
263,italian, 519 columbus ave. ,san francisco,4159821124,italian
264,asian, 133 clement st. ,san francisco,4156684848,asian
265,american, 607 front st. ,san francisco,4153985700,american
266,asian, 3226 mission st. ,san francisco,4158616224,asian
267,asian, 3131 webster st. ,san francisco,4159311556,asian
268,american, 1 market st. ,san francisco,4157775577,american
269,italian, 1915 fillmore st. ,san francisco,4153461333,italian
270,italian, 640 sacramento st. ,san francisco,4153959800,italian
271,italian, 3011 steiner st. ,san francisco,4153462111,italian
272,american, 1944 union st. ,san francisco,4159229022,american
273,american, 558 sacramento st. ,san francisco,4154344100,american
274,american, 1 tillman pl . ,san francisco,4154212300,american
275,asian, 1702 post st. ,san francisco,4153463486,asian
276,italian, 432 powell st. ,san francisco,4153958555,italian
277,american, 150 redwood alley ,san francisco,4158617827,american
278,american, 500 van ness ave. ,san francisco,4158614344,american
279,asian, 3300 geary blvd. ,san francisco,4156681783,asian
280,asian, 298 gough st. ,san francisco,4158639335,asian
281,asian, 3148 geary blvd. ,san francisco,4157524440,asian
282,italian, 2125 fillmore st. ,san francisco,4153464430,italian
283,italian, 670 golden gate ave. ,san francisco,4156739245,italian
284,american, 2257 chestnut st. ,san francisco,4155639727,american
285,asian, 101 spear st. ,san francisco,4159579300,asian
286,asianne, 427 battery st. ,san francisco,4155414949,asianne
